checkpoint_index,N_x,no_pattern_auc,no_pattern_f1,no_pattern_precision,no_pattern_recall,with_pattern_auc,with_pattern_f1,with_pattern_precision,with_pattern_recall,pct_delayed,majority_class,majority_baseline_f1,majority_baseline_accuracy,static_auc,static_f1,static_precision,static_recall,N_y,no_elapsed_minutes_auc
1,34398,0.6586461255171553,0.7067055649389107,0.6259568680784924,0.8113730230683993,0.6679064012034829,0.7073318793983407,0.6388336108516428,0.7922836707968167,0.5771847200418629,1,0.7319177173191772,0.5771847200418629,0.7144844850217368,0.6682285493784625,0.7379314543130212,0.6105570665860783,34398,0.6697095618698569
2,31721,0.6688736524697405,0.7505915344842695,0.6633364312267658,0.8642785065590313,0.6772327978951136,0.7522033748173081,0.6702975767621754,0.856912209889001,0.6248226726774061,1,0.7690964474884073,0.6248226726774061,0.7110439866707263,0.681340360172477,0.771755091617187,0.6098890010090817,31721,0.6703557269606781
3,29838,0.6886999306226941,0.7831729693443723,0.7018810411903903,0.8857620084020853,0.6934668733795307,0.788178408031397,0.6894393445110386,0.9199271144404516,0.6621422347342315,1,0.7967335416876701,0.6621422347342315,0.7118842588376258,0.6916419884419654,0.8005857294994675,0.6087968821177304,29838,0.6806330634097449
4,28003,0.7034428692227103,0.8132097755973472,0.7340796325911346,0.9114607199226108,0.7070476917887271,0.818242373107154,0.7255187620585108,0.9381396059263784,0.7013891368781916,1,0.8244899672571573,0.7013891368781916,0.7159697903607497,0.7018814592350499,0.8322161709258483,0.6068428287765388,28003,0.6936722613875292
5,26279,0.7096900617840118,0.8423397294600803,0.7673966348186353,0.9335047570069428,0.7118834306979164,0.8496408111303083,0.761398362058428,0.9610182566212394,0.7399444423303778,1,0.850538010672732,0.7399444423303778,0.7166655830402839,0.708792702449633,0.8588054457619675,0.6033941887374646,26279,0.6977572132079306
6,24947,0.7262374520408106,0.8642792513929235,0.797582948802461,0.9431481577716572,0.7300399403903381,0.8710187380852745,0.7880610828320223,0.9734968559995842,0.7713552731791398,1,0.8709210228558497,0.7713552731791398,0.7225557977804938,0.7143564050225768,0.8822091513253381,0.6001662942368654,24947,0.7065440145845645
7,23536,0.7408560005953694,0.8867541736941165,0.8245749613601236,0.9590757679902712,0.7409547027151054,0.8924532379283021,0.8174540336060526,0.9826045577116268,0.8035774983004759,1,0.8910928408207496,0.8035774983004759,0.7261279859521378,0.7192105681999045,0.9036154215325548,0.5973140168138318,23536,0.7120418553258183
8,22243,0.7481878445044702,0.9054013124684502,0.8490012307109722,0.9698280523413,0.7484046933621576,0.909394301653716,0.8429679564133346,0.9871850329836704,0.8314525918266421,1,0.907970640940668,0.8314525918266421,0.7330431693215591,0.7227791106582969,0.9214782535825023,0.5945712122850654,22243,0.7169256309811379
9,21232,0.7567379419447539,0.9215004669502956,0.8695290316263585,0.9800794614280984,0.7497538211003592,0.9233860580143232,0.8659644375724778,0.9889636905418828,0.8535229841748304,1,0.9209737256695636,0.8535229841748304,0.7424210273987915,0.724671019248334,0.936358073258152,0.5910495530294669,21232,0.7217143913120468
10,20236,0.779507095092143,0.9361690758008924,0.8909627218633983,0.9862080612474668,0.7598074908235922,0.9366043364764796,0.8889169784609162,0.9896982661562712,0.8778414706463727,1,0.9349473684210526,0.8778414706463727,0.7483650936878994,0.7262799109627156,0.9502184200946489,0.5877617653681603,20236,0.718893113795473
