checkpoint_index,N,pct_delayed,majority_baseline_f1,majority_baseline_accuracy,static_v2_auc,static_v2_f1,no_pattern_auc,no_pattern_f1,no_pattern_precision,no_pattern_recall,with_pattern_auc,with_pattern_f1,with_pattern_precision,with_pattern_recall,with_pattern_no_elapsed_auc,with_pattern_no_elapsed_f1,with_pattern_no_elapsed_precision,with_pattern_no_elapsed_recall
1,34398,0.5771847200418629,0.7319177173191772,0.5771847200418629,0.7186609647982528,0.6793664616556904,0.6680456603696534,0.7029644178504545,0.6430720374394117,0.7751586582048957,0.6669424370096424,0.7009475967576208,0.6411177477966669,0.7730935831570465,0.6823281558789505,0.7217604127621106,0.6418683085611201,0.8243678855646217
2,31721,0.6248226726774061,0.7690964474884073,0.6248226726774061,0.7122473087974105,0.6918438238154787,0.6782687197973933,0.7537796013022343,0.67537760728842,0.8527749747729566,0.6768986672846136,0.7492229154849688,0.6807256235827664,0.8330474268415742,0.6785318539063995,0.7433495691270139,0.6935850375808426,0.8008072653884964
3,29838,0.6621422347342315,0.7967335416876701,0.6621422347342315,0.7099134706905146,0.7013244283450306,0.6919427582173301,0.78530388724302,0.7054719948385015,0.8855089335425419,0.6875209246164928,0.7836356343865591,0.6999721348672425,0.8900136660424154,0.6834677127114277,0.7991675338189386,0.6786130845085356,0.9718074606468593
4,28003,0.7013891368781916,0.8244899672571573,0.7013891368781916,0.7110641181413987,0.7112500723756586,0.7044481692006532,0.815329428324933,0.7357508707232124,0.9142100707703273,0.6996744304830423,0.8153505401618225,0.7331030278398699,0.9183850109464895,0.6949413705260807,0.8257086724670222,0.7168078566609191,0.9736265974237565
5,26279,0.7399444423303778,0.850538010672732,0.7399444423303778,0.7087166116086636,0.718719372754002,0.7075387736946385,0.8452350698856417,0.7673238255033556,0.9407559784006171,0.7042156753629941,0.8453280501290085,0.7656386929850185,0.9435330419130882,0.6976390113926006,0.8509548416086272,0.7555555555555555,0.9739264592440215
6,24947,0.7713552731791398,0.8709210228558497,0.7713552731791398,0.711808993547425,0.7246958637469586,0.7228173817637116,0.8676161458702378,0.7952459300311743,0.9544769526581094,0.7223316219832293,0.8678259641857072,0.7929818525845016,0.9582705399366003,0.7044667533244088,0.8707659515314397,0.7856515740624608,0.9765629059917892
7,23536,0.8035774983004759,0.8910928408207496,0.8035774983004759,0.7125183074990543,0.730329690973418,0.7355933591155165,0.8900434582048605,0.8228586819895852,0.9691746417807857,0.7358101263548396,0.8900886069820365,0.8209261822891082,0.9719769470734415,0.7070819880308754,0.8898527675365672,0.8174975648631896,0.9762597155395759
8,22243,0.8314525918266421,0.9079706409406681,0.8314525918266421,0.7142448108364026,0.734750581545619,0.7419574169708295,0.9078366445916115,0.8467477772578381,0.9784254352763059,0.740872739994282,0.9075128558886241,0.8464274016190164,0.9781010057315886,0.7135146352282025,0.9061072916143925,0.8453183520599251,0.976316643235644
9,21232,0.8535229841748304,0.9209737256695635,0.8535229841748304,0.718676132579079,0.7372376866540291,0.7388746104910234,0.9224247124208349,0.8676749501531877,0.9845491667586359,0.7359077329042776,0.9232199581622376,0.8677120248555755,0.9863149762719347,0.7170239952788726,0.9186421293408193,0.8683538083538084,0.9751131221719457
10,20236,0.8778414706463727,0.9349473684210526,0.8778414706463727,0.7190655813473888,0.7395836893734833,0.7391134113464635,0.9361111852108731,0.8896212543730669,0.9877279891916235,0.7340893075628758,0.9366035723806985,0.8895978932442014,0.9888538617428507,0.7125074192814964,0.9307590954314447,0.8909652509652509,0.9742738122044584
