checkpoint_index,N,pct_delayed_v2,majority_baseline_f1,static_v3_auc,pooled_no_pattern_auc,pooled_with_pattern_auc,per_checkpoint_auc
1,34398,0.55570091284377,0.7144058453086166,0.7386541019994742,0.6860848209512503,0.68650965602168,0.7235498270154939
2,31721,0.6019041013839412,0.7514858109969693,0.7353484895407424,0.6932524571184763,0.6946238765188502,0.728981897967339
3,29838,0.637676787988471,0.7787578021078482,0.7352912637031427,0.7011155789952632,0.7027491231601192,0.742925727251447
4,28003,0.6756061850516016,0.806402114146882,0.738867532770648,0.7155243701688784,0.7118214126789429,0.7734415099817529
5,26279,0.7129266714867385,0.8324076953836584,0.740967843203513,0.7218067101259656,0.7200915486719528,0.7898510112437777
6,24947,0.7427345973463743,0.852378323672831,0.7475066205080122,0.7376277509011546,0.7351408463981091,0.8153659720091107
7,23536,0.7710316111488783,0.8707146798455005,0.749916377950619,0.7403411611915609,0.7350203027924473,0.8306554900100754
8,22243,0.7961605898484917,0.8865138165798959,0.7528370856464666,0.7345154172726689,0.7342289214028002,0.8415520851322225
9,21232,0.816785983421251,0.8991548711567376,0.7580357092563071,0.734662730924433,0.7320184454934882,0.8536504463805273
10,20236,0.838505633524412,0.9121599827975486,0.7603573174243461,0.730680802714823,0.7269859742465766,0.8638155442139773
