checkpoint_index,N,pct_delayed_v2,majority_baseline_accuracy,static_tuned_auc,pooled_tuned_auc,per_checkpoint_tuned_auc,majority_class,majority_class_accuracy,static_accuracy,pooled_dynamic_accuracy
1,34398,0.55570091284377,0.55570091284377,0.7269882221563355,0.7132912610523345,0.7043710287668992,1,0.55570091284377,0.6552125123553695,0.5994534565963138
2,31721,0.6019041013839412,0.6019041013839412,0.7231627638559115,0.7250382138335902,0.7108988154458145,1,0.6019041013839412,0.6470161722518205,0.6269978878345576
3,29838,0.637676787988471,0.637676787988471,0.7217804232521163,0.7382822691337121,0.7282032148843766,1,0.637676787988471,0.6412963335344192,0.6554393726121054
4,28003,0.6756061850516016,0.6756061850516016,0.7234864319600799,0.763042222993857,0.7556156051398895,1,0.6756061850516016,0.6370388886904974,0.6906045780809199
5,26279,0.7129266714867385,0.7129266714867385,0.7244574450652781,0.7865507004401683,0.7781764011421225,1,0.7129266714867385,0.6308459225997946,0.7376231972297271
6,24947,0.7427345973463743,0.7427345973463743,0.7289568703677445,0.8121764345014252,0.8031391705027893,1,0.7427345973463743,0.6270092596304165,0.766264480699082
7,23536,0.7710316111488783,0.7710316111488783,0.7295433666028991,0.8244269293604098,0.8171221134901243,1,0.7710316111488783,0.6219408565601632,0.7944850441876274
8,22243,0.7961605898484917,0.7961605898484917,0.7306631634300175,0.8348488277986643,0.8276951803009109,1,0.7961605898484917,0.6172278919210538,0.8186845299644832
9,21232,0.816785983421251,0.816785983421251,0.73436918084363,0.8485225846637685,0.845156149431711,1,0.816785983421251,0.6119536548605878,0.8395346646571213
10,20236,0.838505633524412,0.838505633524412,0.7340590117216828,0.858641989067765,0.8613161584452728,1,0.838505633524412,0.6055050405218423,0.8478454239968373
