checkpoint_index,per_checkpoint_auc,N,per_checkpoint_no_elapsed_auc,pooled_dynamic_auc,auc_drop_from_removing_elapsed
1,0.7057546422769607,34398,0.7035514231890602,0.6669424370096424,0.002203219087900554
2,0.7064222782794924,31721,0.6992910418622659,0.6768986672846136,0.007131236417226572
3,0.7228194274551463,29838,0.7122176092133247,0.6875209246164928,0.010601818241821603
4,0.7459032512089983,28003,0.727190101913173,0.6996744304830423,0.018713149295825238
5,0.7629797558273701,26279,0.7381860681316543,0.7042156753629941,0.02479368769571577
6,0.7917160082400776,24947,0.7588122015408019,0.7223316219832293,0.03290380669927573
7,0.8157123115248426,23536,0.7777490573289932,0.7358101263548396,0.03796325419584934
8,0.8346543830166109,22243,0.8050135239553301,0.740872739994282,0.029640859061280778
9,0.8539897412003175,21232,0.8204945419949319,0.7359077329042776,0.03349519920538557
10,0.8809878361130361,20236,0.842148876696187,0.7340893075628758,0.03883895941684912
