checkpoint_index,n_train,N_test,per_checkpoint_auc,N_test_pooled,pooled_auc,pooled_minus_per_checkpoint
1,132776,34398,0.7057546422769607,34398,0.6669424370096424,-0.03881220526731832
2,124620,31721,0.7064222782794924,31721,0.6768986672846136,-0.02952361099487888
3,118415,29838,0.7228194274551463,29838,0.6875209246164928,-0.035298502838653434
4,112931,28003,0.7459032512089983,28003,0.6996744304830423,-0.04622882072595591
5,108029,26279,0.7629797558273701,26279,0.7042156753629941,-0.05876408046437598
6,103827,24947,0.7917160082400776,24947,0.7223316219832293,-0.06938438625684828
7,99856,23536,0.8157123115248426,23536,0.7358101263548396,-0.07990218517000303
8,96382,22243,0.8346543830166109,22243,0.740872739994282,-0.09378164302232883
9,93176,21232,0.8539897412003175,21232,0.7359077329042776,-0.11808200829603988
10,90091,20236,0.8809878361130361,20236,0.7340893075628758,-0.14689852855016028
