checkpoint_index,N,pct_delayed,majority_baseline_f1,majority_baseline_accuracy,static_v2_auc,pooled_dynamic_auc,per_checkpoint_auc
1,34398,0.5771847200418629,0.7319177173191772,0.5771847200418629,0.7186609647982528,0.6669424370096424,0.7057546422769607
2,31721,0.6248226726774061,0.7690964474884073,0.6248226726774061,0.7122473087974105,0.6768986672846136,0.7064222782794924
3,29838,0.6621422347342315,0.7967335416876701,0.6621422347342315,0.7099134706905146,0.6875209246164928,0.7228194274551463
4,28003,0.7013891368781916,0.8244899672571573,0.7013891368781916,0.7110641181413987,0.6996744304830423,0.7459032512089983
5,26279,0.7399444423303778,0.850538010672732,0.7399444423303778,0.7087166116086636,0.7042156753629941,0.7629797558273701
6,24947,0.7713552731791398,0.8709210228558497,0.7713552731791398,0.711808993547425,0.7223316219832293,0.7917160082400776
7,23536,0.8035774983004759,0.8910928408207496,0.8035774983004759,0.7125183074990543,0.7358101263548396,0.8157123115248426
8,22243,0.8314525918266421,0.907970640940668,0.8314525918266421,0.7142448108364026,0.740872739994282,0.8346543830166109
9,21232,0.8535229841748304,0.9209737256695636,0.8535229841748304,0.718676132579079,0.7359077329042776,0.8539897412003175
10,20236,0.8778414706463727,0.9349473684210526,0.8778414706463727,0.7190655813473888,0.7340893075628758,0.8809878361130361
