Project_ID,N,delay_rate,cross_project_auc,cross_project_f1,within_project_auc,within_project_f1,n_within_test,within_project_skipped,gap_auc_within_minus_cross,small_project_flag
10,249,0.4979919678714859,0.7726451612903226,0.7016393442622951,0.6610576923076923,0.7017543859649122,50,False,-0.11158746898263028,True
6,281,0.498220640569395,0.6092451874366769,0.6762177650429799,0.5505050505050506,0.2857142857142857,56,False,-0.058740136931626274,True
9,407,0.4987714987714988,0.7087921375446731,0.6297229219143576,0.6230867346938775,0.5373134328358209,81,False,-0.08570540285079553,True
2,625,0.4992,0.643831408208405,0.5773524720893142,0.6366459627329193,0.2647058823529412,125,False,-0.007185445475485719,True
35,647,0.4992272024729521,0.6606514925658373,0.6110236220472441,0.5762077294685991,0.5230769230769231,129,False,-0.08444376309723822,True
34,30709,0.499983718128236,0.7166522728324449,0.6673803333843096,0.6951867710103512,0.6258363355635616,6142,False,-0.021465501822093724,False
33,29167,0.4999828573387733,0.7199162640213064,0.6500209526470178,0.7229622614668166,0.6609185289459792,5833,False,0.0030459974455102623,False
28,19654,0.5,0.7422243004859205,0.6928922321154437,0.7633926812771838,0.5944384254243409,3931,False,0.021168380791263375,False
12,12387,0.4999596351013159,0.7590095549356531,0.6815480969969487,0.6470777445729248,0.7276470588235294,2477,False,-0.11193181036272837,False
22,11854,0.5,0.7445600085330408,0.684389307340127,0.6814581717530365,0.570724494825037,2371,False,-0.06310183678000436,False
